type,file,id,handler
dumbbell,R3F1.csv,image_15_17_2,expert
lollypop,R3F2.csv,image_15_17_3,people
lollypop,R3F3.csv,image_15_17_4,people
lollypop,R3F4.csv,image_15_17_5,people
lollypop,R3F5.csv,image_15_17_6,people
lollypop,R3F6.csv,image_15_17_7,people
lollypop,R3F7.csv,image_15_17_8,people
lollypop,R3F8.csv,image_15_17_9,people
lollypop,R3F9.csv,image_15_17_10,people
lollypop,R3F10.csv,image_15_17_11,people
lollypop,R3F11.csv,image_15_17_12,people
lollypop,R3F12.csv,image_15_17_13,people
lollypop,R3F15.csv,image_15_17_14,people
map,R3F16.csv,image_15_17_15,people
map,R3F17.csv,image_15_17_16,people
map,R3F18.csv,image_15_17_17,people
lollypop,R3F20.csv,image_15_83_3,people
dumbbell,R3F21.csv,image_15_93_2,expert
dumbbell,R3F22.csv,image_15_99_2,expert
dumbbell,R3F23.csv,image_15_105_2,expert
map,R3F24.csv,image_15_105_3,people
map,R3F25.csv,image_15_105_4,people
dumbbell,R3F26.csv,image_119_121_2,expert
map,R3F27.csv,image_119_121_3,people
map,R3F28.csv,image_119_121_4,people
map,R3F29.csv,image_119_121_5,people
map,R3F30.csv,image_119_121_6,people
dumbbell,R3F32.csv,image_147_149_2,expert
dumbbell,R3F33.csv,image_147_155_2,expert
dumbbell,R3F34.csv,image_147_161_2,expert
