type,file,id,handler
dumbbell,R2F1.csv,image_15_17_2,expert
map,R2F2.csv,image_15_17_3,people
map,R2F3.csv,image_15_17_4,people
dumbbell,R2F4.csv,image_15_31_2,expert
map,R2F5.csv,image_15_31_3,people
dumbbell,R2F6.csv,image_15_41_2,expert
map,R2F7.csv,image_15_41_4,people
map,R2F8.csv,image_15_41_5,people
dumbbell,R2F9.csv,image_15_59_2,expert
map,R2F10.csv,image_15_59_3,people
map,R2F11.csv,image_15_59_4,people
map,R2F12.csv,image_15_59_5,people
map,R2F13.csv,image_15_59_6,people
map,R2F14.csv,image_15_59_7,people
dumbbell,R2F15.csv,image_15_85_2,expert
map,R2F16.csv,image_15_85_3,people
dumbbell,R2F17.csv,image_15_95_2,expert
map,R2F18.csv,image_15_95_3,people
map,R2F19.csv,image_15_105_2,people
map,R2F21.csv,image_15_105_4,people
map,R2F22.csv,image_15_105_5,people
map,R2F23.csv,image_15_105_6,people
map,R2F24.csv,image_15_105_7,people
dumbbell,R2F30.csv,image_151_153_2,expert
map,R2F32.csv,image_151_153_4,people
map,R2F33.csv,image_151_153_5,people
dumbbell,R2F34.csv,image_151_171_2,expert
map,R2F36.csv,image_151_171_4,people
map,R2F37.csv,image_151_171_5,people
dumbbell,R2F38.csv,image_151_189_2,expert
map,R2F40.csv,image_151_189_4,people
dumbbell,R2F41.csv,image_151_203_2,expert
dumbbell,R2F42.csv,image_151_209_2,expert
map,R2F43.csv,image_151_209_3,people
map,R2F44.csv,image_151_209_4,people
map,R2F45.csv,image_151_209_5,people
map,R2F46.csv,image_151_209_6,people
dumbbell,R2F47.csv,image_151_231_2,expert
map,R2F49.csv,image_151_231_4,people
map,R2F50.csv,image_151_231_5,people
map,R2F51.csv,image_151_231_6,people
map,R2F52.csv,image_151_231_7,people
map,R2F53.csv,image_151_231_8,people
dumbbell,R2F54.csv,image_151_261_2,expert
map,R2F55.csv,image_151_261_3,people
map,R2F56.csv,image_271_273_2,people
map,R2F57.csv,image_271_279_2,people
